Date,Open,High,Low,Close,Volume
2018-06-06,2.7700,2.7900,2.7500,2.7700,35685697
2018-06-07,2.7700,2.8300,2.7700,2.7800,28447054
2018-06-08,2.7800,2.8050,2.7650,2.7700,19261045
2018-06-12,2.7800,2.7950,2.7500,2.7600,32084694
2018-06-13,2.7500,2.7700,2.7400,2.7600,29850727
2018-06-14,2.7800,2.9050,2.7800,2.9000,57412997
2018-06-15,2.9300,2.9800,2.9300,2.9400,78493414
2018-06-18,2.9700,2.9700,2.8600,2.8700,42435080
2018-06-19,2.8800,2.9100,2.8600,2.9100,38750210
2018-06-20,2.7600,2.7800,2.6950,2.7700,124013149
2018-06-21,2.7800,2.7900,2.7100,2.7200,74378750
2018-06-22,2.7000,2.7100,2.6400,2.6800,65739258
2018-06-25,2.6800,2.7300,2.6500,2.6600,51586140
2018-06-26,2.6500,2.6700,2.6300,2.6600,37451142
2018-06-27,2.6500,2.6550,2.6100,2.6200,39590188
2018-06-28,2.6200,2.6400,2.6000,2.6200,44275748
2018-06-29,2.6300,2.6400,2.6000,2.6200,59819454
2018-07-02,2.6400,2.6500,2.6200,2.6300,17854497
2018-07-03,2.6400,2.6900,2.6300,2.6900,23327054
2018-07-04,2.6900,2.7400,2.6800,2.7100,24082381
2018-07-05,2.7400,2.7700,2.7300,2.7600,38392772
2018-07-06,2.7900,2.8000,2.7700,2.8000,24994004
2018-07-09,2.8100,2.8100,2.7700,2.8000,18429511
2018-07-10,2.8100,2.8100,2.7700,2.7700,20279264
2018-07-11,2.7700,2.7750,2.7200,2.7500,28315787
2018-07-12,2.7500,2.7600,2.7250,2.7500,34608880
2018-07-13,2.7600,2.7600,2.7400,2.7500,15159362
2018-07-16,2.7600,2.8000,2.7400,2.7900,19566444
2018-07-17,2.8000,2.8000,2.7500,2.7600,24932012
2018-07-18,2.7600,2.7700,2.7400,2.7700,19586510
2018-07-19,2.7600,2.7800,2.7500,2.7600,26193689
2018-07-20,2.7700,2.8000,2.7600,2.7900,22178764
2018-07-23,2.7800,2.7900,2.7500,2.7600,14923076
2018-07-24,2.7500,2.7700,2.7300,2.7600,20777971
2018-07-25,2.7600,2.7600,2.7300,2.7300,23159155
2018-07-26,2.7300,2.7400,2.7200,2.7200,27375651
2018-07-27,2.7400,2.7700,2.7200,2.7600,26355402
2018-07-30,2.7500,2.8200,2.7500,2.8100,25968026
2018-07-31,2.8100,2.8500,2.8050,2.8400,19884552
2018-08-01,2.8400,2.8500,2.8050,2.8400,13296078
2018-08-02,2.8500,2.8700,2.8100,2.8300,28579838
2018-08-03,2.8500,2.8500,2.8100,2.8200,13932911
2018-08-06,2.8200,2.8600,2.8100,2.8600,16472642
