Date,Open,High,Low,Close,Volume
2018-06-06,193.63,194.08,191.92,193.98,20933600
2018-06-07,194.14,194.20,192.34,193.46,21347200
2018-06-08,191.17,192.00,189.77,191.70,26656800
2018-06-11,191.35,191.97,190.21,191.23,18308500
2018-06-12,191.39,192.61,191.15,192.28,16911100
2018-06-13,192.42,192.88,190.44,190.70,21638400
2018-06-14,191.55,191.57,190.22,190.80,21610100
2018-06-15,190.03,190.16,188.26,188.84,61719200
2018-06-18,187.88,189.22,187.20,188.74,18484900
2018-06-19,185.14,186.33,183.45,185.69,33578500
2018-06-20,186.35,187.20,185.73,186.50,20628700
2018-06-21,187.25,188.35,184.94,185.46,25711900
2018-06-22,186.12,186.15,184.70,184.92,27200400
2018-06-25,183.40,184.92,180.73,182.17,31663100
2018-06-26,182.99,186.53,182.54,184.43,24569200
2018-06-27,185.23,187.28,184.03,184.16,25285300
2018-06-28,184.10,186.21,183.80,185.50,17365200
2018-06-29,186.29,187.19,182.91,185.11,22737700
2018-07-02,183.82,187.30,183.42,187.18,17731300
2018-07-03,187.79,187.95,183.54,183.92,13954800
2018-07-05,185.26,186.41,184.28,185.40,16604200
2018-07-06,185.42,188.43,185.20,187.97,17485200
2018-07-09,189.50,190.68,189.30,190.58,19756600
2018-07-10,190.71,191.28,190.18,190.35,15939100
2018-07-11,188.50,189.78,187.61,187.88,18831500
2018-07-12,189.53,191.41,189.31,191.03,18041100
2018-07-13,191.08,191.84,190.90,191.33,12513900
2018-07-16,191.52,192.65,190.42,190.91,15043100
2018-07-17,189.75,191.87,189.20,191.45,15534500
2018-07-18,191.78,191.80,189.93,190.40,16393400
2018-07-19,189.69,192.55,189.69,191.88,20286800
2018-07-20,191.78,192.43,190.17,191.44,20676200
2018-07-23,190.68,191.96,189.56,191.61,15989400
2018-07-24,192.45,193.66,192.05,193.00,18697900
2018-07-25,193.06,194.85,192.43,194.82,16709900
2018-07-26,194.61,195.96,193.61,194.21,19076000
2018-07-27,194.99,195.19,190.10,190.98,24024000
2018-07-30,191.90,192.20,189.07,189.91,21029500
2018-07-31,190.30,192.14,189.34,190.29,39373000
2018-08-01,199.13,201.76,197.31,201.50,67935700
2018-08-02,200.58,208.38,200.35,207.39,62404000
2018-08-03,207.03,208.74,205.48,207.99,33447400
2018-08-06,208.00,209.25,207.07,209.07,25425400
2018-08-07,209.32,209.50,206.76,207.11,25587400
2018-08-08,206.05,207.81,204.52,207.25,22525500
2018-08-10,207.36,209.10,206.67,207.53,24611200
2018-08-13,207.70,210.95,207.70,208.87,25869100
2018-08-14,210.16,210.56,208.26,209.75,20748000
2018-08-15,209.22,210.74,208.33,210.24,28807600
2018-08-16,211.75,213.81,211.47,213.32,28500400
2018-08-17,213.44,217.95,213.16,217.58,35427000
2018-08-20,218.10,219.18,215.11,215.46,30287700
2018-08-21,216.80,217.19,214.03,215.04,26159800
2018-08-22,214.10,216.36,213.84,215.05,19018100
2018-08-23,214.65,217.05,214.60,215.49,18883200
2018-08-24,216.60,216.90,215.11,216.16,18476400
2018-08-27,217.15,218.74,216.33,217.94,20525100
2018-08-28,219.01,220.54,218.92,219.70,22776800
2018-08-29,220.15,223.49,219.41,222.98,27254800
2018-08-30,223.25,228.26,222.40,225.03,48793800
2018-08-31,226.51,228.87,226.00,227.63,43340100
2018-09-04,228.41,229.18,226.63,228.36,27390100
2018-09-05,228.99,229.67,225.10,226.87,33333000
2018-09-06,226.23,227.35,221.30,223.10,34290000
2018-09-07,221.85,225.37,220.71,221.30,37619800
2018-09-10,220.95,221.85,216.47,218.33,39516500
2018-09-11,218.01,224.30,216.56,223.85,35749000
2018-09-12,224.94,225.00,219.84,221.07,49278700
2018-09-13,223.52,228.35,222.57,226.41,41706400
2018-09-14,225.75,226.84,222.52,223.84,31999300
2018-09-17,222.15,222.95,217.27,217.88,37195100
2018-09-18,217.79,221.85,217.12,218.24,31571700
2018-09-19,218.50,219.62,215.30,218.37,27123800
2018-09-20,220.24,222.28,219.15,220.03,26608800
2018-09-21,220.78,221.36,217.29,217.66,96246700
2018-09-24,216.82,221.26,216.63,220.79,27693400
2018-09-25,219.75,222.82,219.70,222.19,24554400
2018-09-26,221.00,223.75,219.76,220.42,23984700
2018-09-27,223.82,226.44,223.54,224.95,30181200
2018-09-28,224.79,225.84,224.02,225.74,22929400
2018-10-01,227.95,229.42,226.35,227.26,23600800
2018-10-02,227.25,230.00,226.63,229.28,24788200
2018-10-03,230.05,233.47,229.78,232.07,28654800
2018-10-04,230.78,232.35,226.73,227.99,32042000
2018-10-05,227.96,228.41,220.58,224.29,33580500
2018-10-08,222.21,224.80,220.20,223.77,29663900
2018-10-09,223.64,227.27,222.25,226.87,26891000
2018-10-10,225.46,226.35,216.05,216.36,41990600
2018-10-11,214.52,219.50,212.32,214.45,53124400
2018-10-12,220.42,222.88,216.84,222.11,40337900
2018-10-15,221.16,221.83,217.27,217.36,30791000
2018-10-16,218.93,222.99,216.76,222.15,29184000
2018-10-17,222.30,222.64,219.34,221.19,22885400
2018-10-18,217.86,219.74,213.00,216.02,32581300
2018-10-19,218.06,221.26,217.43,219.31,33078700
2018-10-22,219.79,223.36,218.94,220.65,28792100
2018-10-23,215.83,223.25,214.70,222.73,38767800
2018-10-24,222.60,224.23,214.54,215.09,40925500
2018-10-25,217.71,221.38,216.75,219.80,29855800
2018-10-26,215.90,220.19,212.67,216.30,47258400
2018-10-29,219.19,219.69,206.09,212.24,45935500
2018-10-30,211.15,215.18,209.27,213.30,36660000
2018-10-31,216.88,220.45,216.62,218.86,38358900
2018-11-01,219.05,222.36,216.81,222.22,58323200
2018-11-02,209.55,213.65,205.43,207.48,91328700
2018-11-05,204.30,204.39,198.17,201.59,66163700
2018-11-06,201.92,204.72,201.69,203.77,31882900
2018-11-08,209.98,210.12,206.75,208.49,25362600
2018-11-09,205.55,206.01,202.25,204.47,34365800
2018-11-12,199.00,199.85,193.79,194.17,51135500
2018-11-13,191.63,197.18,191.45,192.23,46882900
2018-11-14,193.90,194.48,185.93,186.80,60801000
2018-11-15,188.39,191.97,186.90,191.41,46478800
2018-11-16,190.50,194.97,189.46,193.53,36928300
2018-11-19,190.00,190.70,184.99,185.86,41925300
2018-11-20,178.37,181.47,175.51,176.98,67825200
2018-11-21,179.73,180.27,176.55,176.78,31124200
2018-11-23,174.94,176.60,172.10,172.29,23624000
2018-11-26,174.24,174.95,170.26,174.62,44998500
2018-11-27,171.51,174.77,170.88,174.24,41387400
2018-11-28,176.73,181.29,174.93,180.94,46062500
2018-11-29,182.66,182.80,177.70,179.55,41770000
2018-11-30,180.29,180.33,177.03,178.58,39531500
2018-12-03,184.46,184.94,181.21,184.82,40802500
2018-12-04,180.95,182.39,176.27,176.69,41344300
