Date,Open,High,Low,Close,Volume
2018-05-30,98.31,99.25,97.91,98.95,22158500
2018-05-31,99.29,99.99,98.61,98.84,34140900
2018-06-01,99.28,100.86,99.17,100.79,28655600
2018-06-04,101.26,101.86,100.85,101.67,27281600
2018-06-05,102.00,102.33,101.53,102.19,23514400
2018-06-06,102.48,102.60,101.90,102.49,21122900
2018-06-07,102.65,102.69,100.38,100.88,28232200
2018-06-08,101.09,101.95,100.54,101.63,22165100
2018-06-11,101.01,101.59,100.67,101.05,23490900
2018-06-12,101.10,101.45,100.75,101.31,18325200
2018-06-13,101.72,102.01,100.56,100.85,29492900
2018-06-14,101.65,102.03,101.00,101.42,25691800
2018-06-15,101.51,101.53,100.07,100.13,65738600
2018-06-18,100.01,101.11,99.42,100.86,23586000
2018-06-19,99.65,101.00,99.50,100.86,28653100
2018-06-20,101.37,102.52,101.12,101.87,26180800
2018-06-21,102.08,102.46,100.88,101.14,23198200
2018-06-22,100.41,100.77,99.63,100.41,38923100
2018-06-25,100.00,100.11,97.30,98.39,35433300
2018-06-26,98.82,100.08,98.75,99.08,26897200
2018-06-27,99.58,100.02,97.40,97.54,31298400
2018-06-28,97.38,99.11,97.26,98.63,26650700
2018-06-29,98.93,99.91,98.33,98.61,28053200
2018-07-02,98.10,100.06,98.00,100.01,19564500
2018-07-03,100.48,100.63,98.94,99.05,14670300
2018-07-05,99.50,99.92,99.03,99.76,18977400
2018-07-06,99.89,101.43,99.67,101.16,19234600
2018-07-09,101.65,102.25,101.25,101.85,18212000
2018-07-10,102.00,102.51,101.86,102.12,19293100
2018-07-11,101.15,102.34,101.10,101.98,19644600
2018-07-12,102.77,104.41,102.73,104.19,24335900
2018-07-13,104.37,105.60,104.09,105.43,24635200
2018-07-16,105.40,105.82,104.52,104.91,21786900
2018-07-17,104.61,106.50,104.32,105.95,25901700
2018-07-18,105.94,106.05,104.72,105.12,29493900
2018-07-19,104.93,105.31,103.89,104.40,40171600
2018-07-20,108.08,108.20,106.08,106.27,56004000
2018-07-23,106.30,108.14,106.13,107.97,29707000
2018-07-24,108.57,108.82,107.26,107.66,26316600
2018-07-25,107.96,111.15,107.60,110.83,30702100
2018-07-26,110.74,111.00,109.50,109.62,31372100
2018-07-27,110.18,110.18,106.14,107.68,37005300
2018-07-30,107.19,107.53,104.76,105.37,34668300
2018-07-31,106.49,106.72,105.38,106.08,27655200
2018-08-01,106.03,106.45,105.42,106.28,23628700
2018-08-02,105.40,108.09,104.84,107.57,26104300
2018-08-03,107.80,108.05,106.82,108.04,18659600
2018-08-06,108.12,108.42,107.56,108.13,20265900
2018-08-07,108.56,109.10,108.17,108.88,16080200
2018-08-08,109.33,109.75,108.76,109.49,15487500
2018-08-09,109.71,110.16,109.60,109.67,13660400
2018-08-10,109.42,109.69,108.38,109.00,18183700
2018-08-13,109.24,109.58,108.10,108.21,18472500
2018-08-15,108.49,108.99,106.82,107.66,29982800
2018-08-16,108.30,108.86,107.30,107.64,21384300
2018-08-17,107.36,107.90,106.69,107.58,18061500
2018-08-20,107.51,107.90,106.48,106.87,17914200
2018-08-21,106.92,107.35,105.85,105.98,22881900
2018-08-22,105.85,107.34,105.78,107.06,18000600
2018-08-23,107.15,108.18,106.87,107.56,18167700
2018-08-24,107.67,108.56,107.56,108.40,17234000
2018-08-27,109.27,109.64,108.51,109.60,19662300
2018-08-28,109.94,110.50,109.79,110.26,19151500
2018-08-29,110.45,112.03,110.27,112.02,20818000
2018-08-30,111.67,112.61,111.44,111.95,22798700
2018-08-31,111.69,112.78,111.52,112.33,23222700
2018-09-04,110.85,111.96,110.22,111.71,22634600
2018-09-05,111.01,111.42,108.10,108.49,32872400
2018-09-06,108.25,108.99,107.51,108.74,23477600
2018-09-07,108.23,108.72,107.23,108.21,22498600
2018-09-10,108.84,109.64,108.36,109.38,20727900
2018-09-11,108.90,111.59,108.89,111.24,24301800
2018-09-12,111.43,111.85,110.51,111.71,18891100
2018-09-13,112.12,113.73,112.12,112.91,26055600
2018-09-14,113.36,113.73,112.44,113.37,19122300
2018-09-17,113.69,113.70,111.86,112.14,20736500
2018-09-18,112.19,113.70,111.72,113.21,22170900
2018-09-19,113.05,113.32,111.04,111.70,21728400
2018-09-20,112.28,113.80,111.93,113.57,23714500
2018-09-21,114.00,115.29,113.51,114.26,71229700
2018-09-24,113.03,114.90,112.22,114.67,27334500
2018-09-25,114.80,115.10,113.75,114.45,22668000
2018-09-26,114.47,115.06,113.74,113.98,19352000
2018-09-27,114.78,114.91,114.20,114.41,19091300
2018-09-28,114.19,114.57,113.68,114.37,21647800
2018-10-01,114.75,115.68,114.73,115.61,18883100
2018-10-02,115.30,115.84,114.44,115.15,20787200
2018-10-03,115.42,116.18,114.93,115.17,16648000
2018-10-04,114.61,114.76,111.63,112.79,34821700
2018-10-05,112.63,113.17,110.64,112.13,29068900
2018-10-08,111.66,112.03,109.34,110.85,29640600
2018-10-09,111.14,113.08,110.80,112.26,26198600
2018-10-10,111.24,111.50,105.79,106.16,61376300
2018-10-11,105.35,108.93,104.20,105.91,63904300
2018-10-12,109.01,111.24,107.12,109.57,47742100
2018-10-15,108.91,109.48,106.95,107.60,32068100
2018-10-16,109.54,111.41,108.95,111.00,31610200
2018-10-17,111.68,111.81,109.55,110.71,26548200
2018-10-18,110.10,110.53,107.83,108.50,32506200
2018-10-19,108.93,110.86,108.21,108.66,32785500
2018-10-22,109.32,110.54,108.24,109.63,26545600
2018-10-23,107.77,108.97,105.11,108.10,43770400
2018-10-24,108.41,108.49,101.59,102.32,63897800
2018-10-25,106.55,109.27,106.15,108.30,61646800
2018-10-26,105.69,108.75,104.76,106.96,55523100
2018-10-29,108.11,108.70,101.63,103.85,55162000
2018-10-30,103.66,104.38,100.11,103.73,65350900
2018-10-31,105.44,108.14,105.39,106.81,51062400
2018-11-01,107.05,107.32,105.53,105.92,33384200
2018-11-02,106.48,107.32,104.98,106.16,37680200
2018-11-05,106.37,107.74,105.90,107.51,27922100
2018-11-06,107.38,108.84,106.28,107.72,24340200
2018-11-07,109.44,112.24,109.40,111.96,37901700
2018-11-08,111.80,112.21,110.91,111.75,25644100
2018-11-09,110.85,111.45,108.76,109.57,32039200
2018-11-12,109.42,109.96,106.10,106.87,33621800
2018-11-14,108.10,108.26,104.47,104.97,39495100
2018-11-15,104.99,107.80,103.91,107.28,38505200
2018-11-16,107.08,108.88,106.80,108.29,33502100
2018-11-19,108.27,108.56,103.55,104.62,44773900
2018-11-20,101.80,102.97,99.35,101.71,64052500
2018-11-21,103.60,104.43,102.24,103.11,28130600
2018-11-23,102.17,103.81,102.00,103.07,13823100
2018-11-26,104.79,106.63,104.58,106.47,32336200
2018-11-27,106.27,107.33,105.36,107.14,29124500
2018-11-28,107.89,111.33,107.86,111.12,46788500
2018-11-29,110.33,111.12,109.03,110.19,28123200
2018-11-30,110.70,110.97,109.36,110.89,33665600
2018-12-03,113.00,113.42,110.73,112.09,34732800
2018-12-04,111.94,112.64,108.21,108.52,45197000
2018-12-06,105.82,109.24,105.00,109.19,49107400
2018-12-07,108.38,109.45,104.30,104.82,45044900
2018-12-10,104.80,107.98,103.89,107.59,40801500
2018-12-11,109.80,110.95,107.44,108.59,42381900
2018-12-12,110.89,111.27,109.04,109.08,36183000
2018-12-13,109.58,110.87,108.63,109.45,31333400
2018-12-14,108.25,109.26,105.50,106.03,47043100
2018-12-17,105.41,105.80,101.71,102.89,56957300
2018-12-18,103.75,104.51,102.52,103.97,49319200
2018-12-19,103.65,106.88,101.35,103.69,68198200
2018-12-20,103.05,104.31,98.78,101.51,70334200
2018-12-21,101.63,103.00,97.46,98.23,111242100
2018-12-24,97.68,97.97,93.98,94.13,43935200
2018-12-26,95.14,100.69,93.96,100.56,51634800
2018-12-27,99.30,101.19,96.40,101.18,49498500
2018-12-28,102.09,102.41,99.52,100.39,38196300
2018-12-31,101.29,102.40,100.44,101.57,33173800
2019-01-02,99.55,101.75,98.94,101.12,35329300
2019-01-03,100.10,100.19,97.20,97.40,42523600
2019-01-04,99.72,102.51,98.93,101.93,44060600
2019-01-07,101.64,103.27,100.98,102.06,35656100
2019-01-08,103.04,103.97,101.71,102.80,31514400
2019-01-09,103.86,104.88,103.24,104.27,32280800
2019-01-10,103.22,103.75,102.38,103.60,30067600
2019-01-11,103.19,103.44,101.64,102.80,28314200
2019-01-14,101.90,102.87,101.26,102.05,28437100
2019-01-15,102.51,105.05,101.88,105.01,31587600
2019-01-16,105.26,106.26,104.96,105.38,29853900
2019-01-17,105.00,106.63,104.76,106.12,28393000
2019-01-18,107.46,107.90,105.91,107.71,37427600
2019-01-22,106.75,107.10,104.86,105.68,32371300
2019-01-23,106.12,107.04,105.34,106.71,25874300
2019-01-24,106.86,107.00,105.34,106.20,23164800
2019-01-25,107.24,107.88,106.20,107.17,31225600
2019-01-28,106.26,106.48,104.66,105.08,29476700
2019-01-29,104.88,104.97,102.17,102.94,31490500
2019-01-30,104.62,106.38,104.33,106.38,49471900
2019-01-31,103.80,105.22,103.18,104.43,55636400
2019-02-01,103.78,104.10,102.35,102.78,35535700
2019-02-04,102.87,105.80,102.77,105.74,31315100
2019-02-05,106.06,107.27,105.96,107.22,27325400
2019-02-06,107.00,107.00,105.53,106.03,20609800
2019-02-07,105.19,105.59,104.29,105.27,29760700
2019-02-08,104.39,105.78,104.26,105.67,21461100
2019-02-11,106.20,106.58,104.97,105.25,18914100
2019-02-12,106.14,107.14,105.48,106.89,25056600
