Date,Open,High,Low,Close,Volume
2018-06-06,367.78,369.68,363.33,367.45,7712300
2018-06-07,368.54,368.70,357.80,361.40,8278000
2018-06-08,358.06,362.39,356.25,360.57,5225700
2018-06-11,361.88,365.67,360.91,361.45,4432400
2018-06-12,363.60,365.98,362.00,363.83,4291000
2018-06-13,367.53,384.25,364.11,379.93,18222800
2018-06-14,384.27,395.03,383.25,392.87,14598300
2018-06-15,390.71,398.86,387.51,391.98,13588100
2018-06-18,387.72,393.16,386.50,390.40,6824800
2018-06-19,389.50,405.29,388.50,404.98,16697100
2018-06-20,415.15,419.47,409.60,416.76,16494600
2018-06-21,421.38,423.21,406.37,415.44,18389900
2018-06-22,419.98,420.50,409.65,411.09,10428600
2018-06-25,404.69,405.99,378.75,384.48,22490900
2018-06-26,393.28,404.78,389.05,399.39,15191200
2018-06-27,407.56,411.59,390.00,390.39,16541400
2018-06-28,395.00,396.90,387.10,395.42,12219900
2018-06-29,399.19,401.33,390.55,391.43,9252500
2018-07-02,385.45,398.38,380.00,398.18,8142500
2018-07-03,399.49,399.98,389.50,390.52,5280300
2018-07-05,393.80,399.24,390.86,398.39,8448900
2018-07-06,397.45,408.65,395.52,408.25,8629600
2018-07-09,415.95,419.12,411.10,418.97,11127500
2018-07-10,417.24,419.44,413.08,415.63,9382900
2018-07-11,411.34,419.77,410.60,418.65,9713900
2018-07-12,415.16,416.79,407.80,413.50,12743300
2018-07-13,409.19,410.00,395.08,395.80,15719000
2018-07-16,398.98,403.36,391.75,400.48,22960000
2018-07-17,346.95,385.00,344.00,379.48,58410400
2018-07-18,381.24,383.13,372.36,375.13,21746300
2018-07-19,371.06,375.75,363.00,364.23,16878700
2018-07-20,364.92,370.50,360.14,361.05,15096700
2018-07-23,359.15,363.90,353.60,362.66,11505200
2018-07-24,366.94,367.40,354.56,357.32,12851500
2018-07-25,357.57,363.28,355.65,362.87,8467800
2018-07-26,358.19,365.54,356.63,363.09,6993700
2018-07-27,366.85,367.00,351.65,355.21,8949500
